Numero de Empleado ,Conocimiento del entorno empresarial,Practica lo que se predica,Enfoque a resultados,Conocimiento de si mismo,Cooperación proactiva,Iniciativa
10937961,3.1,4.8,3.6,3.6,4.1,3.1
10736985,4.8,4.8,4.8,3.8,4.3,4.8
10914421,3.3,4.8,3.8,3.2,3.8,2.7
10421289,4.6,4.8,3.6,4.1,4.6,4.2
10892071,3.2,4.8,4.8,3.8,4.8,4.2
10104643,4.8,4.8,4.8,4.8,4.8,4.7
10964167,4.8,4.8,3.8,4.8,4.8,4.3
10784819,3.3,3.3,3.8,2.3,3.6,2.8
10221716,3.8,4.8,4.8,3.8,4.3,3.7
1210461,3,2.8,2.8,2,2.8,2.8
11014969,4.7,4.8,4.8,4.8,4.8,3.8
10813265,3.8,4.8,3.6,3.8,4.7,3.6
10941425,3.7,4.7,3.6,3.6,4.6,3.6
10877038,2.8,2.3,2.6,2.7,4.3,1.6
10938100,3.6,4.8,3.6,4.8,4.7,3.6
10788585,4.8,4.8,4.8,4.8,4.8,4.6
1204025,4.7,4.8,3.6,4.6,4.7,4.7
10660002,4.8,4.8,4.8,4.7,3.8,4.8
10432170,4.8,4.8,4.8,4.8,4.8,4.8
10789230,4.6,4.8,4.6,4.8,4.6,4.6
1200601,4.8,4.8,4.8,4.6,4.6,4.2
10784632,1.7,3.8,1.6,2.7,3.1,2.1
11040318,4.6,4.8,3.8,4.8,4.8,4.3
10365034,4.8,4.8,4.8,4.8,4.8,4.1
10915053,4.6,4.3,3.8,3.2,3.8,3.8
10899067,2.3,2.3,1.8,1.6,2.1,1.6
10605621,4.7,4.8,4.8,4.8,3.8,4.8
10990454,4.6,4.8,4.8,4.7,4.7,4.7
10552495,4.8,4.8,4.8,4.8,4.7,4.8
10016341,4.8,3.3,2.8,3.3,3.8,2.8
10788437,3.8,4.8,4.8,4.8,3.8,4.8
10466407,4.7,4.8,4.8,4.8,4.8,4.8
10998701,3.8,4.8,2.8,3.8,3.6,3.8
10421761,3.9,3.9,3.4,3.4,4.4,3.4
10020113,4.8,4.8,4.8,4.7,4.8,4.2
10396456,3.6,4.8,3.6,3.8,3.8,2.8
10826817,4.8,4.8,3.8,4.8,4.3,4.8
10964872,4.8,4.8,4.8,4.7,4.3,4.8
10933838,2.8,4.3,3.8,3.7,3.7,2.7
11030397,4.6,4.8,4.8,4.8,3.8,4.3
10940746,4.8,4.8,4.8,4.6,4.8,4.5
